id_kviz,name,description,popularity,duration,team_number,theme,time,rewards,registrarion_fee,contact,picture,max_teams,lokacije
1,Fast Facts Trivia,-,Instagram : 3281 pratitelja,≈2:30min,6,opće znanje,"utorak, srijeda i četvrtak u 20h","domaćice, Jameson, nagrade za amazingu, žestice",10kn po osobi,"Instagram, Facebook",https://scontent.fzag1-2.fna.fbcdn.net/v/t1.6435-9/123544802_2019742468156106_7474287818670168364_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8631f5&_nc_eui2=AeFXz5bOQeZdyaCUZug8Vpzzxi-rFcPM6ZXGL6sVw8zplbr7JEN_wb2RqHyhyXc4HU-luXa4mkby4TBkCDQSSVhA&_nc_ohc=c7ljpkeeM6MAX-D2ewe&tn=dpYhfGfGGEsEYYSE&_nc_ht=scontent.fzag1-2.fna&oh=00_AT9QGC104i-5pjGnf_CWkcsONMLM-BLD5zhtVUKJwc4c9w&oe=637A54F7,20-40,Out Garden-Ilica 16;klub Roko-Jarunska ul;IQ bar-Ul. Lavoslava Ružičke 66
2,Schlosser quiz,-,Instagram : 411 pratitelja,≈2h,5,opće znanje,"utorak, četvrtak i petak u 20h",žestice i pokloni iznenađenja,10kn po osobi,"Instagram, Facebook, Whatsapp",https://scontent.fzag1-2.fna.fbcdn.net/v/t39.30808-6/311045968_185222687335128_545662819323893267_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=09cbfe&_nc_eui2=AeHhl7WoTjwPTArnT2RC6G92nJEkYGufv3yckSRga5-_fCOyzatAZIsLxlhPkQxSjLx3p1CyZBmaU2ZxCgRnbMqj&_nc_ohc=UjRt2L2sw6kAX--AD6p&_nc_ht=scontent.fzag1-2.fna&oh=00_AT9YXzYpnWI84wZ6AXyuqTfY5U9kLS907vKNBqjJhG9xag&oe=635C580D,30,Out Garden-Ilica 16;Bustan Bar-Varšavska 8
3,Plava ptica,-,Instagram : 316 pratitelja,≈2:30 min,5,opće znanje,četvrtak u 20h,"žestice, vino i pizza",10kn po osobi,"Instagram, Facebook",https://scontent.fzag1-2.fna.fbcdn.net/v/t39.30808-6/279843197_110405911659941_4685246366109662213_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=e3f864&_nc_eui2=AeFlBKuHNFN5xJd0njYkopyoOc3HWKArpA05zcdYoCukDZsVl9IWDsZlgWYTybwrbSxjf4EEMDrK71BU32w71eRD&_nc_ohc=Jf7dR-7hduwAX8ltUDV&_nc_ht=scontent.fzag1-2.fna&oh=00_AT8FXhUUucyVlQW187ZJZXHn-YfoBOJh0SHniC3elEFDsg&oe=635ABAB2,15,Plava Ptica caffe bar-Ul. kralja Držislava 4
4,Silent pub kviz,-,Instagram : 807 pratitelja,≈2h,6,opće znanje i tematski kvizovi,srijeda/četvrtak u 20h,"žestice, vino i pizza",10kn po osobi,"Instagram, Facebook",https://scontent.fzag1-2.fna.fbcdn.net/v/t39.30808-6/262169768_3088949798044511_2359350930360734787_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeGbeuOD1NURG9yEFuukiEw0zIPVEr3iL6DMg9USveIvoP_OKJc2BtT54ler20mZD5KUYSeshfAAfmM6ahNmTDgM&_nc_ohc=WMsByYzFNEsAX9679Iy&_nc_ht=scontent.fzag1-2.fna&oh=00_AT8X-Y1-3NLE0bXxe2J-EXx46a8DR-uok2y8R2D1hQd9hg&oe=635B0C55,15,Silent Caffe-Ul. kneza Mislava 7
5,Žabac,"igra se liga u dvije divizije - divizija Mirko Miočić i divizija Mladost). Liga ima 30-ak kola i trenutno se igra 3. sezona. Ekipe su od 2 do 5 članova, a kotizacije nema. Pobjednike lige očekuju vrijedne nagrade, a postoje i nagrade za pobjednike svakog pojedinačnog kviza.",Facebook : 714 pratitelja,≈2h,5,opće znanje,ponedjeljak/srijeda u 20:30h,pizza i pokloni iznenađenja,10kn po osobi,Facebook,https://scontent.fzag1-2.fna.fbcdn.net/v/t1.6435-9/71908712_996116634065018_2073644815060303872_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=09cbfe&_nc_eui2=AeGFwnBhXTXnIfHUOs2JXokylXawnmIDR0iVdrCeYgNHSPRzWay6VvPYUVlUN6EnW8H22BjgzKJFNM_XH1mbtln0&_nc_ohc=K_HbBDFpdlMAX8HcYQa&_nc_ht=scontent.fzag1-2.fna&oh=00_AT97Ze598rjR6QnGEcTFzu1-FYhvMlZ2NycayVjDPKbR1Q&oe=637E28C0,30,Žabac Caffe-Jarunska ulica 5
6,JFK kviz,"Pub kviz u samom centru grada, pitanja iz svih mogućih područja i dosega ljudskog i neljudskog znanja, super nagrade, velike količine šarma i super playlista.",Facebook : 1157 pratitelja,≈2h,5,opće znanje i tematski kvizovi,petak u 20h,pokloni iznenađenja,10kn po osobi,"Facebook, Instagram",https://scontent.fzag1-2.fna.fbcdn.net/v/t1.18169-9/20841921_760035317534180_8649998737829076014_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=09cbfe&_nc_eui2=AeFZCOu3DJ7-xnP-qEg55W75n29Y3hkEu3Ofb1jeGQS7c4JlkCgKt_CHeWzkS7VMu-Icw1udEghQRdpC9uCzqQ1u&_nc_ohc=fjHw48Vdn3wAX9PHthy&_nc_oc=AQmbOa2Ad0id3zvukgjpYG4xkcvmpEhPDAMhpl8khmyP7Ai4GgX1bQK2r9zD5shcUUY&tn=dpYhfGfGGEsEYYSE&_nc_ht=scontent.fzag1-2.fna&oh=00_AT92kBT5hL2RfilI3np6NScO33Egbt7EzRRcZIAJffeGCQ&oe=637D645F,25,Grey Caffe Bar-Gundulićeva 34
7,Vintage kviz,-,-,≈2h,5,tematski kvizovi,petak u 20h,pokloni iznenađenja,10kn po osobi,Facebook,https://scontent.fzag1-2.fna.fbcdn.net/v/t1.18169-9/21557635_1702419059829450_5868218517311846948_n.png?_nc_cat=106&ccb=1-7&_nc_sid=09cbfe&_nc_eui2=AeEiXK-n0hkbHLe2x8F9ARXDiIJTCsBRdveIglMKwFF296Exw3BT9Y_Br10yMwHhRSSKhkXpoLF6OZDgePzveTJo&_nc_ohc=ggtnDI2DLWcAX9inJbR&_nc_ht=scontent.fzag1-2.fna&oh=00_AT_FlnCCpwfOt5_gaF684T584wWo1DdunpvkuM4Z1Z0gBw&oe=637B03C,-,Vintage Industrial Bar-Savska cesta 160
8,Inquizicija,"Inquizicija je klasičan pub kviz općeg znanja čiji se format sastoji od 3 kruga. U svakom krugu nalaze se različite kategorije pitanja (otvorena, asocijacija, klađenje, video pitanja...) Kviz je opuštenog karaktera i pitanja su uvijek raznovrsna. Svake sezone održava se i liga. U slučaju da je ponedjeljkom državni praznik, blagdan ili utakmica Hrvatske reprezentacije ili Dinama, kviz se prebacuje na utorak ili srijedu.",Facebook : 97 pratitelja,≈2h,4,opće znanje,ponedjeljak u 19:45h,"Domino Voucher, boca Antiquea, žestice",15kn po osobi,Facebook,https://scontent.fzag1-2.fna.fbcdn.net/v/t39.30808-6/266693580_108460468356214_35560236528381056_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=09cbfe&_nc_eui2=AeHPFoxpon56uROXJGDWyl5MohITcM3azYSiEhNwzdrNhGlXyVqCnM9egJLLD0b2kXiiQ6eXTXA33ITCdsCdm4lY&_nc_ohc=1PFgtOVXqaIAX8Hz4Po&_nc_ht=scontent.fzag1-2.fna&oh=00_AT8YFC9-6kBGbKw2kngZ698f8nFJWZQIK9I7YHIEc3GPEg&oe=635AA4CD,24,Vivas bar Peščenica-Trg Stjepana Konzula 2
9,Najgori kviz,-,Instagram : 180 pratitelja,-,5,opće znanje,Ponedjeljak i četvrtak u 20h,-,15kn po osobi,Instagram,-,-,Backstage bar-Dalmatinska 5;Casual caffe-Petrinjska 59;Sungarden-Lanište 24
10,Vortex Quiz Factory,-,Instagram : 1033 pratitelja,≈2:30min,5,tematski kvizovi,SKORO SVAKI DAN,pokloni iznenađenja,15kn po osobi,"Instagram, Facebook",https://scontent.fzag1-2.fna.fbcdn.net/v/t39.30808-6/294604624_911264369815966_8113351615775619444_n.png?_nc_cat=107&ccb=1-7&_nc_sid=09cbfe&_nc_eui2=AeEStjjmGmQQWQ9UFu92aCeU14fVihdSnMvXh9WKF1Kcy8HX4N3rowCj2twQdNxrT6lRQnvueZdKRX8fo1NID4s6&_nc_ohc=oqTxSDw8y50AX90XcYN&_nc_ht=scontent.fzag1-2.fna&oh=00_AT9WlJiIU8puFv3KgdZ202gIK4QNInsQ3gf6HfdBRjv4rw&oe=635BD1E3,-,"Varadero bar-Ozaljska ul. 8;Harats Irish Pub-Kaptol 4 Trg Petrice Kerempuha, Opatovina ul. 11;Va Bene-Banjolska ul. 24;Out Garden-Ilica 16;Allegri,-Ante Topića Mimare 18, Malešnica"
11,Animatori Sivih Stanica,"Animatori Sivih Stanica ponedjeljkom u 20 sati okupljaju 300-ak kvizaša na tri lokacije u Zagrebu. (Gotovo) nemoguće dobar nagradni fond, jedinstven koncept kviza, originalna i uvijek friško napisana pitanja čekaju vas svaki ponedjeljak na SmartASS pub kvizu za samo 15 kn.",Facebook : 2100 pratitelja,≈2:30min,5,opće znanje,Ponedjeljak u 20h,"Laser Tag, turu skakanja, escape room, poklon bonovi i ostala iznenađenja",15kn po osobi,"Instagram, Facebook",https://scontent.fzag1-2.fna.fbcdn.net/v/t39.30808-6/277369916_5315953908434909_940276962417417877_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=09cbfe&_nc_eui2=AeGcUS-XvsJvm9OfJDEeuYNxsCeTT2qhphKwJ5NPaqGmEiPzETKJJ9Tt3fX5b9qCwyx7rXABO41tMn_c9Aq-03ni&_nc_ohc=upcuw4g4g6gAX_7JOKv&_nc_ht=scontent.fzag1-2.fna&oh=00_AT8tkt4k_X0uu3lHP911HeY38V1s7VIx3i_wcC2vAKSmgA&oe=635ACEF4,30,Vetro bar & bites-Hektorovićeva 2;Valentino caffe bar-Nehajska 6;Burger&Beer Bar Mrav-Trnsko 25A
12,Urbana kviz priča,-,Instagram : 2309 pratitelja,≈2:30min,5,opće znanje,Četvrtak u 20h,Pokloni iznenađenja,10kn po osobi,"Instagram, Facebook",https://scontent.fzag1-2.fna.fbcdn.net/v/t39.30808-6/275300065_305222551598877_2943176537359294575_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=09cbfe&_nc_eui2=AeEqfRs4nyqgrgldv7PMoNE_gs7dSNAyywaCzt1I0DLLBkxjYwMpqPerauHPgDDj0l7FJhqz6VWvgyy23EM-hJyr&_nc_ohc=Tg78FQVCHLYAX9Fm7BJ&_nc_ht=scontent.fzag1-2.fna&oh=00_AT8KoRrV4IiCSxRhaaiazQ85ALBZ_T2sBGKItOMjaVIZVg&oe=635C194E,30,Caffe Bar & Night Club Urban Zagreb-Trg J.F.Kennedya 6b;Excelente bar-Višnjevac ul. 3;Booze and Blues-Tkalčićeva 84
